Height,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
84.2,-0.3833,11.1952,0.08899,7.94,8.682,9.425,10.257,11.195,12.256,13.461,14.837,16.213
84.3,-0.3833,11.2198,0.08898,7.958,8.702,9.445,10.28,11.22,12.283,13.491,14.869,16.248
84.4,-0.3833,11.2444,0.08898,7.976,8.721,9.466,10.302,11.244,12.31,13.52,14.902,16.283
84.5,-0.3833,11.2691,0.08897,7.993,8.74,9.487,10.325,11.269,12.337,13.55,14.934,16.318
84.6,-0.3833,11.2939,0.08897,8.011,8.76,9.508,10.348,11.294,12.364,13.58,14.967,16.354
84.7,-0.3833,11.3187,0.08897,8.029,8.779,9.529,10.371,11.319,12.391,13.609,15,16.39
84.8,-0.3833,11.3435,0.08897,8.046,8.798,9.55,10.393,11.344,12.418,13.639,15.033,16.426
84.9,-0.3833,11.3684,0.08896,8.064,8.818,9.571,10.416,11.368,12.445,13.669,15.065,16.461
85,-0.3833,11.3934,0.08896,8.082,8.837,9.592,10.439,11.393,12.473,13.699,15.098,16.497
85.1,-0.3833,11.4183,0.08896,8.1,8.856,9.613,10.462,11.418,12.5,13.729,15.131,16.534
85.2,-0.3833,11.4434,0.08896,8.117,8.876,9.634,10.485,11.443,12.527,13.759,15.164,16.57
85.3,-0.3833,11.4684,0.08895,8.135,8.895,9.655,10.508,11.468,12.555,13.789,15.197,16.605
85.4,-0.3833,11.4935,0.08895,8.153,8.915,9.676,10.531,11.494,12.582,13.819,15.23,16.642
85.5,-0.3833,11.5186,0.08895,8.171,8.934,9.697,10.554,11.519,12.61,13.849,15.264,16.678
85.6,-0.3833,11.5437,0.08895,8.189,8.954,9.719,10.577,11.544,12.637,13.879,15.297,16.714
85.7,-0.3833,11.5689,0.08895,8.207,8.973,9.74,10.6,11.569,12.665,13.91,15.33,16.751
85.8,-0.3833,11.594,0.08895,8.225,8.993,9.761,10.623,11.594,12.692,13.94,15.363,16.787
85.9,-0.3833,11.6192,0.08895,8.242,9.012,9.782,10.646,11.619,12.72,13.97,15.397,16.824
86,-0.3833,11.6444,0.08895,8.26,9.032,9.803,10.669,11.644,12.747,14,15.43,16.86
86.1,-0.3833,11.6696,0.08895,8.278,9.051,9.825,10.692,11.67,12.775,14.031,15.464,16.897
86.2,-0.3833,11.6948,0.08895,8.296,9.071,9.846,10.715,11.695,12.803,14.061,15.497,16.933
